Overall score	Negative	Neutral	Positive
0.2584	0.065	0.807	0.128
0.4215	0.0	0.903	0.097
-0.9081	0.371	0.629	0.0
0.4404	0.0	0.932	0.068
-0.34	0.113	0.829	0.058
-0.7783	0.214	0.786	0.0
-0.2732	0.07	0.93	0.0
0.8248	0.0	0.787	0.213
0.0	0.0	1.0	0.0
0.8338	0.0	0.783	0.217
0.7269	0.0	0.852	0.148
-0.5574	0.146	0.854	0.0
0.7003	0.0	0.847	0.153
-0.7579	0.238	0.762	0.0
0.4019	0.0	0.903	0.097
0.4588	0.062	0.766	0.172
0.5106	0.044	0.816	0.14
-0.1655	0.052	0.948	0.0
-0.3818	0.247	0.599	0.154
0.4191	0.0	0.877	0.123
0.4588	0.06	0.81	0.13
0.7964	0.0	0.808	0.192
-0.0258	0.141	0.758	0.101
-0.2023	0.1	0.841	0.059
-0.8481	0.29	0.71	0.0
-0.3182	0.063	0.937	0.0
-0.1655	0.108	0.797	0.095
-0.8126	0.286	0.714	0.0
-0.5994	0.21	0.729	0.061
0.7096	0.0	0.831	0.169
-0.3182	0.161	0.754	0.085
0.0	0.0	1.0	0.0
-0.4019	0.149	0.791	0.06
-0.2732	0.152	0.762	0.086
-0.4956	0.221	0.653	0.126
0.3182	0.04	0.883	0.077
-0.34	0.147	0.778	0.075
-0.7106	0.184	0.816	0.0
0.9042	0.0	0.681	0.319
-0.3182	0.161	0.754	0.085
-0.296	0.066	0.934	0.0
-0.296	0.066	0.934	0.0
-0.296	0.066	0.934	0.0
-0.128	0.052	0.912	0.036
-0.7096	0.157	0.843	0.0
-0.1901	0.117	0.786	0.098
-0.128	0.055	0.945	0.0
-0.34	0.162	0.768	0.071
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.1531	0.085	0.816	0.099
-0.3361	0.107	0.851	0.042
-0.3361	0.107	0.851	0.042
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.4404	0.16	0.777	0.063
0.0	0.0	1.0	0.0
-0.2023	0.053	0.947	0.0
-0.4019	0.08	0.92	0.0
-0.5267	0.155	0.845	0.0
-0.4019	0.048	0.899	0.053
0.0	0.0	1.0	0.0
0.7109	0.029	0.813	0.158
0.2732	0.055	0.862	0.084
-0.6369	0.212	0.736	0.052
-0.2023	0.085	0.873	0.042
0.6705	0.067	0.669	0.264
-0.1451	0.133	0.787	0.08
0.128	0.0	0.947	0.053
-0.1531	0.046	0.954	0.0
0.2263	0.043	0.888	0.069
0.5859	0.044	0.799	0.157
0.1531	0.053	0.877	0.07
-0.4497	0.095	0.905	0.0
0.7096	0.0	0.727	0.273
0.1531	0.0	0.942	0.058
0.1531	0.0	0.942	0.058
-0.34	0.12	0.88	0.0
-0.8074	0.279	0.721	0.0
-0.8074	0.279	0.721	0.0
-0.8074	0.279	0.721	0.0
-0.34	0.12	0.88	0.0
-0.34	0.12	0.88	0.0
0.5106	0.117	0.705	0.178
-0.4404	0.114	0.836	0.05
0.0258	0.083	0.831	0.086
-0.1154	0.077	0.858	0.065
-0.2263	0.083	0.862	0.055
0.34	0.0	0.921	0.079
-0.3182	0.15	0.79	0.06
0.6486	0.0	0.811	0.189
-0.2263	0.144	0.736	0.12
-0.4404	0.204	0.639	0.157
-0.204	0.063	0.937	0.0
0.0	0.0	1.0	0.0
-0.3818	0.102	0.898	0.0
0.25	0.064	0.833	0.102
0.6597	0.101	0.679	0.22
0.25	0.062	0.819	0.119
-0.2263	0.095	0.807	0.098
0.3818	0.0	0.89	0.11
-0.0258	0.136	0.786	0.079
-0.6369	0.178	0.822	0.0
-0.1779	0.133	0.725	0.142
0.0	0.0	1.0	0.0
-0.5859	0.127	0.873	0.0
-0.1027	0.042	0.958	0.0
0.4939	0.0	0.906	0.094
0.5574	0.0	0.907	0.093
0.6705	0.0	0.836	0.164
-0.0516	0.155	0.759	0.085
0.25	0.073	0.823	0.104
0.8442	0.0	0.72	0.28
-0.0096	0.037	0.963	0.0
-0.8126	0.286	0.714	0.0
0.4588	0.106	0.743	0.151
-0.6705	0.233	0.692	0.075
-0.6705	0.159	0.841	0.0
0.6908	0.023	0.864	0.113
0.7783	0.0	0.818	0.182
-0.6249	0.118	0.882	0.0
0.2741	0.069	0.794	0.136
0.0	0.0	1.0	0.0
0.3612	0.0	0.938	0.062
-0.3818	0.107	0.893	0.0
0.891	0.0	0.685	0.315
-0.4019	0.048	0.899	0.053
-0.3818	0.145	0.769	0.086
-0.8957	0.247	0.753	0.0
-0.3736	0.038	0.962	0.0
0.4404	0.065	0.79	0.144
-0.2263	0.058	0.942	0.0
0.5423	0.0	0.916	0.084
-0.2263	0.174	0.737	0.088
-0.765	0.185	0.815	0.0
-0.9487	0.378	0.622	0.0
-0.5187	0.186	0.744	0.07
0.6705	0.0	0.836	0.164
-0.128	0.055	0.945	0.0
0.2846	0.0	0.944	0.056
0.7351	0.0	0.833	0.167
-0.2263	0.117	0.79	0.093
-0.4767	0.093	0.872	0.035
-0.7506	0.181	0.819	0.0
0.0	0.0	1.0	0.0
0.0516	0.072	0.825	0.102
-0.6124	0.207	0.793	0.0
0.631	0.0	0.861	0.139
0.4019	0.0	0.906	0.094
0.3337	0.185	0.621	0.194
-0.2263	0.144	0.736	0.12
0.0772	0.11	0.801	0.089
0.4404	0.0	0.836	0.164
-0.4215	0.139	0.787	0.074
-0.5423	0.13	0.87	0.0
0.714	0.0	0.76	0.24
-0.7506	0.225	0.775	0.0
-0.25	0.114	0.821	0.065
-0.886	0.324	0.611	0.066
0.0	0.0	1.0	0.0
0.3612	0.074	0.763	0.163
0.0	0.0	1.0	0.0
0.3612	0.0	0.885	0.115
-0.3818	0.189	0.735	0.076
0.1027	0.071	0.844	0.084
0.6705	0.0	0.884	0.116
-0.0772	0.082	0.845	0.073
-0.5606	0.204	0.741	0.055
-0.2828	0.188	0.65	0.162
-0.3786	0.245	0.625	0.13
0.0	0.0	1.0	0.0
0.2023	0.058	0.814	0.128
-0.0956	0.097	0.818	0.085
-0.3818	0.133	0.813	0.054
-0.2406	0.098	0.902	0.0
-0.8481	0.338	0.662	0.0
-0.4588	0.119	0.826	0.055
-0.8074	0.283	0.639	0.079
-0.2732	0.075	0.925	0.0
0.0	0.0	1.0	0.0
-0.4404	0.16	0.769	0.071
-0.8316	0.26	0.74	0.0
-0.2732	0.065	0.935	0.0
-0.7269	0.148	0.852	0.0
0.0	0.0	1.0	0.0
-0.4404	0.114	0.831	0.055
-0.4404	0.101	0.849	0.049
0.5994	0.0	0.86	0.14
0.0	0.0	1.0	0.0
